date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:08:30	41312/41312	---MCZ	200	added ('OK')	text/html	etag:W/%225d9b45ad-a160%22	http://baha.malyarchuk.space/index-line.html	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/index-line.html	(from )
04:08:30	3791/3791	---MC-	424	error ('Failed%20Dependency')	text/html	date:Mon,%2014%20Oct%202019%2011:08:37%20GMT	http://baha.malyarchuk.space/robots.txt		(from )
04:08:31	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225b6c42e8-22688%22	http://baha.malyarchuk.space/css/plugins/bootstrap.min.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/bootstrap.min.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:32	68242/68242	---MCZ	200	added ('OK')	text/css	etag:W/%225c583dbe-10a92%22	http://baha.malyarchuk.space/css/plugins/font-awesome.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/font-awesome.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:32	8197/8197	---MCZ	200	added ('OK')	text/css	etag:W/%225bdae3fe-2005%22	http://baha.malyarchuk.space/css/plugins/magnific-popup.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/magnific-popup.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:32	3706/3706	---MCZ	200	added ('OK')	text/css	etag:W/%225c63f73e-e7a%22	http://baha.malyarchuk.space/css/plugins/simplebar.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/simplebar.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:32	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%225c59d54e-d17%22	http://baha.malyarchuk.space/css/plugins/owl.carousel.min.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/owl.carousel.min.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:32	1013/1013	---M--	200	added ('OK')	text/css	etag:%225c59d55a-3f5%22	http://baha.malyarchuk.space/css/plugins/owl.theme.default.min.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/owl.theme.default.min.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:33	28706/28706	---MCZ	200	added ('OK')	text/css	etag:W/%225c584d5a-7022%22	http://baha.malyarchuk.space/css/plugins/jquery.animatedheadline.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/plugins/jquery.animatedheadline.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:33	55833/55833	---MCZ	200	added ('OK')	text/css	etag:W/%225d9a33e5-da19%22	http://baha.malyarchuk.space/css/style-dark.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/style-dark.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:33	3123/3123	---MCZ	200	added ('OK')	text/css	etag:W/%225d9a121f-c33%22	http://baha.malyarchuk.space/css/style-demo.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/style-demo.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:33	1506/1506	---M--	200	added ('OK')	text/css	etag:%225d553b60-5e2%22	http://baha.malyarchuk.space/css/settings/left-nav.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/settings/left-nav.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:34	3591/3591	---MCZ	200	added ('OK')	text/css	etag:W/%225d97bfec-e07%22	http://baha.malyarchuk.space/css/settings/green-color.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/settings/green-color.css	(from http://baha.malyarchuk.space/index-line.html)
04:08:34	1659/1659	---M--	200	added ('OK')	text/css	etag:%225d9a2421-67b%22	http://baha.malyarchuk.space/css/settings/circle-box.css	C:/My%20Web%20Sites/Baha/baha.malyarchuk.space/css/settings/circle-box.css	(from http://baha.malyarchuk.space/index-line.html)
